year,month,mm
2010,Jan,158.4698476
2010,Feb,125.4151774
2010,Mar,194.9482997
2010,Apr,58.27453578
2010,May,35.03856264
2010,Jun,0.091809232
2010,Jul,0
2010,Aug,0
2010,Sep,1.586910202
2010,Oct,18.18809117
2010,Nov,82.13206459
2010,Dec,226.1941664
2011,Jan,162.4934262
2011,Feb,105.9319297
2011,Mar,194.6029319
2011,Apr,102.8788744
2011,May,16.75941982
2011,Jun,0.646234489
2011,Jul,0.009473702
2011,Aug,0.093054648
2011,Sep,9.274178592
2011,Oct,36.37627322
2011,Nov,144.4177408
2011,Dec,213.6235645
2012,Jan,146.8421546
2012,Feb,132.9622696
2012,Mar,143.8274646
2012,Apr,88.18541145
2012,May,18.81966634
2012,Jun,0.082771365
2012,Jul,0
2012,Aug,0.268262736
2012,Sep,3.13802987
2012,Oct,36.54632964
2012,Nov,146.3350907
2012,Dec,228.048077
2013,Jan,144.6453899
2013,Feb,126.076092
2013,Mar,171.9619241
2013,Apr,164.9614314
2013,May,8.387386545
2013,Jun,0
2013,Jul,0
2013,Aug,0.079369384
2013,Sep,8.648930434
2013,Oct,14.27912106
2013,Nov,112.0398296
2013,Dec,298.3902261
2014,Jan,183.0320866
2014,Feb,125.9986313
2014,Mar,190.069929
2014,Apr,114.1631738
2014,May,5.918368365
2014,Jun,0
2014,Jul,0
2014,Aug,0.34549401
2014,Sep,1.478452229
2014,Oct,52.44795099
2014,Nov,128.9022838
2014,Dec,166.9409349
2015,Jan,149.5327926
2015,Feb,129.769546
2015,Mar,130.0082941
2015,Apr,224.4551172
2015,May,19.32775178
2015,Jun,0.008879037
2015,Jul,0
2015,Aug,0
2015,Sep,4.258981554
2015,Oct,58.99280325
2015,Nov,167.0292812
2015,Dec,252.5189448
2016,Jan,290.2642587
2016,Feb,118.0551372
2016,Mar,169.8133204
2016,Apr,172.2790822
2016,May,30.50027085
2016,Jun,0
2016,Jul,0
2016,Aug,0.048711424
2016,Sep,2.200554183
2016,Oct,34.99583491
2016,Nov,81.36349209
2016,Dec,183.8990361
2017,Jan,142.2041945
2017,Feb,151.6002612
2017,Mar,181.954415
2017,Apr,93.09904905
2017,May,8.820258536
2017,Jun,0.013117636
2017,Jul,9.48E-04
2017,Aug,0.106928382
2017,Sep,6.088631514
2017,Oct,46.84240277
2017,Nov,175.4394489
2017,Dec,201.8853346
2018,Jan,188.6404146
2018,Feb,83.43228353
2018,Mar,207.7795526
2018,Apr,271.8819511
2018,May,19.97569212
2018,Jun,0.00256135
2018,Jul,0
2018,Aug,0.246492391
2018,Sep,1.226991066
2018,Oct,33.21912707
2018,Nov,156.2748645
2018,Dec,249.8865783
2019,Jan,126.8422953
2019,Feb,136.9455437
2019,Mar,155.4488239
2019,Apr,223.1805825
2019,May,39.87347691
2019,Jun,0.269133994
2019,Jul,8.29E-04
2019,Aug,0.006606107
2019,Sep,4.417607749
2019,Oct,69.30413826
2019,Nov,196.5521677
2019,Dec,249.4241217
2020,Jan,213.4765305
2020,Feb,170.413583
2020,Mar,254.3228406
2020,Apr,242.3165099
2020,May,16.57632458
2020,Jun,1.785089815
2020,Jul,0.010009678
2020,Aug,0.002849706
2020,Sep,9.952872128
2020,Oct,36.28432861
2020,Nov,115.8607554
2020,Dec,190.2784941
2021,Jan,173.7263162
2021,Feb,153.7562968
2021,Mar,172.8279169
2021,Apr,175.2899635
2021,May,19.16059688
2021,Jun,0.010087091
2021,Jul,0
2021,Aug,0.220053244
2021,Sep,3.222766185
2021,Oct,25.12466424
2021,Nov,146.9476871
2021,Dec,183.0800707
2022,Jan,254.8571548
2022,Feb,250.6734118
2022,Mar,190.6937852
2022,Apr,127.1760135
2022,May,17.35918786
2022,Jun,0.052265672
2022,Jul,0
2022,Aug,0.056607548
2022,Sep,2.986846132
2022,Oct,9.190251107
2022,Nov,138.7110023
2022,Dec,377.475839
2023,Jan,159.2203342
2023,Feb,120.12989
2023,Mar,247.2434159
2023,Apr,210.2463384
2023,May,31.74780207
2023,Jun,0.008429819
2023,Jul,0
2023,Aug,0.004978274
2023,Sep,9.522843697
2023,Oct,29.0256068
2023,Nov,302.090003
2023,Dec,484.0683959
2024,Jan,142.8576966
2024,Feb,234.2580134
2024,Mar,201.5073493
2024,Apr,227.1807908
2024,May,6.625625377
2024,Jun,0.156736997
2024,Jul,0.001504653
2024,Aug,0.433897654
2024,Sep,7.224121891
2024,Oct,60.68815266
2024,Nov,199.3997021
2024,Dec,179.5153977
